country,year,life_ladder,logGDP,social_support,life_exp,freedom,generosity,corruption,continent
Sierra Leone,2016,4.732953071594238,7.353229999542236,0.6567234992980957,44.01073455810547,0.6812021136283875,0.11023976653814316,0.8632648587226868,Africa
Singapore,2016,6.033480644226074,11.300004005432129,0.9251282215118408,76.40869903564453,0.9037356376647949,0.12482639402151108,0.04731115326285362,Asia
Slovakia,2016,5.993163108825684,10.24734115600586,0.9451791048049927,68.16325378417969,0.7000985145568848,-0.07512897253036499,0.9166091680526733,Europe
Slovenia,2016,5.936821460723877,10.28735637664795,0.9344873428344727,70.80030822753906,0.9035511016845703,-0.06148331239819527,0.8384743928909302,Europe
Somalia,2016,4.667941093444824,NA,0.5944165587425232,47.56276321411133,0.9173228144645691,NA,0.440801739692688,Africa
South Africa,2016,4.769739627838135,9.415353775024414,0.8753897547721863,50.1988639831543,0.7741364240646362,-0.08072303980588913,0.8128589987754822,Africa
South Korea,2016,5.970564365386963,10.467949867248535,0.8111634850502014,74.8541259765625,0.5909560322761536,0.01471873838454485,0.8618163466453552,Asia
South Sudan,2016,2.8881123065948486,7.461285591125488,0.5321518182754517,49.40060043334961,0.43991902470588684,0.02020873688161373,0.7853177785873413,Africa
Spain,2016,6.318612098693848,10.427800178527832,0.9417368173599243,73.95972442626953,0.7681737542152405,-0.05896519869565964,0.8185585737228394,Europe
Sweden,2016,7.368744373321533,10.744303703308105,0.9120606780052185,71.9614486694336,0.9180364012718201,0.13149410486221313,0.24618244171142578,Europe
Switzerland,2016,7.45851993560791,10.917510986328125,0.9276282787322998,72.95709991455078,0.9339470863342285,0.07805823534727097,0.30156296491622925,Europe
Taiwan Province of China,2016,6.512850761413574,NA,0.8949892520904541,70.9800033569336,0.7189251780509949,NA,0.8105210065841675,Asia
Tajikistan,2016,5.1037211418151855,7.886899471282959,0.8566569685935974,61.7590446472168,0.7030268907546997,0.014901498332619667,0.6318878531455994,Asia
